District,State,Growth,Sex_Ratio,Literacy
Pali,Rajasthan,0.12,987,62.39
Mahesana,Gujarat,0.11,926,83.61
Banka,Bihar,0.26,907,58.17
Gwalior,Madhya Pradesh,0.25,864,76.65
Pilibhit,Uttar Pradesh,0.23,895,61.47
Firozpur,Punjab,0.16,893,68.92
Madhepura,Bihar,0.31,911,52.25
Jhansi,Uttar Pradesh,0.15,890,75.05
Ujjain,Madhya Pradesh,0.16,955,72.34
Kottayam,Kerala,0.01,1039,97.21
Ganganagar,Rajasthan,0.10,887,69.64
Morena,Madhya Pradesh,0.23,840,71.03
Jalna,Maharashtra,0.21,937,71.52
Chandauli,Uttar Pradesh,0.19,918,71.48
Kota,Rajasthan,0.24,911,76.56
Dhubri,Assam,0.24,953,58.34
Davanagere,Karnataka,0.09,972,75.74
Virudhunagar,Tamil Nadu,0.11,1007,80.15
Palamu,Jharkhand,0.26,928,63.63
Raichur,Karnataka,0.16,1000,59.56
Sonitpur,Assam,0.16,956,67.34
Saharsa,Bihar,0.26,906,53.2
Patiala,Punjab,0.20,891,75.28
Haridwar,Uttarakhand,0.31,880,73.43
Bagalkot,Karnataka,0.14,989,68.82
Farrukhabad,Uttar Pradesh,0.20,874,69.04
Krishnagiri,Tamil Nadu,0.20,958,71.46
West Nimar,Madhya Pradesh,0.23,965,62.7
Kanniyakumari,Tamil Nadu,0.12,1019,91.75
Mainpuri,Uttar Pradesh,0.17,881,75.99
Sonbhadra,Uttar Pradesh,0.27,918,64.03
Dharwad,Karnataka,0.15,971,80
Darjiling,West Bengal,0.15,970,79.56
Jyotiba Phule Nagar,Uttar Pradesh,0.23,910,63.84
Parbhani,Maharashtra,0.20,947,73.34
Jalor,Rajasthan,0.26,952,54.86
Jajapur,Orissa,0.12,973,80.13
Akola,Maharashtra,0.11,946,88.05
Faridabad,Haryana,0.33,873,81.7
Mandya,Karnataka,0.02,995,70.4
Kendujhar,Orissa,0.15,988,68.24
Banda,Uttar Pradesh,0.17,863,66.67
Banswara,Rajasthan,0.27,980,56.33
Ramabai Nagar,Uttar Pradesh,0.15,865,75.78
Hassan,Karnataka,0.03,1010,76.07
Hanumangarh,Rajasthan,0.17,906,67.13
Etah,Uttar Pradesh,0.14,873,70.81
Chhattarpur,Madhya Pradesh,0.20,883,63.74
Jamui,Bihar,0.26,922,59.79
Surendranagar,Gujarat,0.16,930,72.13
Shimoga,Karnataka,0.07,998,80.45
Thoothukkudi,Tamil Nadu,0.11,1023,86.16
Hisar,Haryana,0.13,872,72.89
Cachar,Assam,0.20,959,79.34
Hazaribagh,Jharkhand,0.21,947,69.75
Namakkal,Tamil Nadu,0.16,986,74.63
Shivpuri,Madhya Pradesh,0.23,877,62.55
West Tripura,Tripura,0.13,962,88.69
Sant Kabir Nagar,Uttar Pradesh,0.21,972,66.72
East Delhi,Delhi,0.17,884,89.31
Buxar,Bihar,0.22,922,70.14
Valsad,Gujarat,0.21,922,78.55
Bidar,Karnataka,0.13,956,70.51
Bhind,Madhya Pradesh,0.19,837,75.26
Balaghat,Madhya Pradesh,0.14,1021,77.09
Puri,Orissa,0.13,963,84.67
Dehradun,Uttarakhand,0.32,902,84.25
Barpeta,Assam,0.21,953,63.81
Kishanganj,Bihar,0.30,950,55.46
Jalaun,Uttar Pradesh,0.16,865,73.75
Dakshin Dinajpur,West Bengal,0.12,956,72.82
Khagaria,Bihar,0.30,886,57.92
Chitradurga,Karnataka,0.09,974,73.71
Osmanabad,Maharashtra,0.12,924,78.44
Kannauj,Uttar Pradesh,0.19,879,72.7
Sangrur,Punjab,0.12,885,67.99
Balangir,Orissa,0.23,987,64.72
Udham Singh Nagar,Uttarakhand,0.33,920,73.1
Nandurbar,Maharashtra,0.26,978,64.38
Gautam Buddha Nagar,Uttar Pradesh,0.37,851,80.12
Bhiwani,Haryana,0.15,886,75.21
Dausa,Rajasthan,0.24,905,68.16
Kaimur,Bihar,0.26,920,69.34
Janjgir Champa,Chhattisgarh,0.23,986,73.07
Pudukkottai,Tamil Nadu,0.11,1015,77.19
Nagapattinam,Tamil Nadu,0.09,1025,83.59
Ratnagiri,Maharashtra,-0.05,1122,82.18
Kaushambi,Uttar Pradesh,0.24,908,61.28
Haveri,Karnataka,0.11,950,77.4
Hoshiarpur,Punjab,0.07,961,84.59
Etawah,Uttar Pradesh,0.18,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,0.17,955,68.97
Kalahandi,Orissa,0.18,1003,59.22
Betul,Madhya Pradesh,0.13,971,68.9
Mahamaya Nagar,Uttar Pradesh,0.17,871,71.59
Dewas,Madhya Pradesh,0.20,942,69.35
Bharuch,Gujarat,0.13,925,81.51
Rajgarh,Madhya Pradesh,0.23,956,61.21
Chittaurgarh,Rajasthan,0.16,972,61.71
Rajnandgaon,Chhattisgarh,0.20,1015,75.96
Kolar,Karnataka,0.11,979,74.39
Jammu,Jammu and Kashmir,0.13,880,83.45
Kamrup,Assam,0.16,949,75.55
Gurgaon,Haryana,0.74,854,84.7
Amreli,Gujarat,0.09,964,74.25
Shajapur,Madhya Pradesh,0.17,938,69.09
Kangra,Himachal Pradesh,0.13,1012,85.67
Dharmapuri,Tamil Nadu,0.16,946,68.54
Bhadrak,Orissa,0.13,981,82.78
Karnal,Haryana,0.18,887,74.73
Pashchimi Singhbhum,Jharkhand,0.22,1005,58.63
Raigarh,Chhattisgarh,0.18,991,73.26
Deoghar,Jharkhand,0.28,925,64.85
Bargarh,Orissa,0.10,977,74.62
Vidisha,Madhya Pradesh,0.20,896,70.53
Karauli,Rajasthan,0.21,861,66.22
Ratlam,Madhya Pradesh,0.20,971,66.78
Sonipat,Haryana,0.13,856,79.12
Tikamgarh,Madhya Pradesh,0.20,901,61.43
Kendrapara,Orissa,0.11,1007,85.15
Uttara Kannada,Karnataka,0.06,979,84.06
Kanshiram Nagar,Uttar Pradesh,0.17,880,61.02
Tonk,Rajasthan,0.17,952,61.58
Bastar,Chhattisgarh,0.18,1023,54.4
Jhalawar,Rajasthan,0.20,946,61.5
Gandhinagar,Gujarat,0.04,923,84.16
Koppal,Karnataka,0.16,986,68.09
Dungarpur,Rajasthan,0.25,994,59.46
Bathinda,Punjab,0.17,868,68.28
Barwani,Madhya Pradesh,0.28,982,49.08
Koraput,Orissa,0.17,1032,49.21
Auraiya,Uttar Pradesh,0.17,864,78.95
Seoni,Madhya Pradesh,0.18,982,72.12
Munger,Bihar,0.20,876,70.46
Ramanathapuram,Tamil Nadu,0.14,983,80.72
Patan,Gujarat,0.14,935,72.3
Mandsaur,Madhya Pradesh,0.13,963,71.78
Sivaganga,Tamil Nadu,0.16,1003,79.85
Sawai Madhopur,Rajasthan,0.20,897,65.39
Jind,Haryana,0.12,871,71.44
Raisen,Madhya Pradesh,0.18,901,72.98
Navsari,Gujarat,0.08,961,83.88
Tinsukia,Assam,0.15,952,69.66
Dibrugarh,Assam,0.12,961,76.05
Garhwa,Jharkhand,0.28,935,60.33
Gondiya,Maharashtra,0.10,999,84.95
Dumka,Jharkhand,0.19,977,61.02
Godda,Jharkhand,0.25,938,56.4
Sehore,Madhya Pradesh,0.22,918,70.06
East Nimar,Madhya Pradesh,0.22,943,66.39
Kasaragod,Kerala,0.09,1080,90.09
Baghpat,Uttar Pradesh,0.12,861,72.01
Wardha,Maharashtra,0.05,946,86.99
Sirsa,Haryana,0.16,897,68.82
Katni,Madhya Pradesh,0.21,952,71.98
Anugul,Orissa,0.12,943,77.53
Thiruvarur,Tamil Nadu,0.08,1017,82.86
Damoh,Madhya Pradesh,0.17,910,69.73
Chikkaballapura,Karnataka,0.09,972,69.76
Kamrup Metropolitan,Assam,0.18,936,88.71
Theni,Tamil Nadu,0.14,991,77.26
Guna,Madhya Pradesh,0.27,912,63.23
Hoshangabad,Madhya Pradesh,0.14,914,75.29
Srinagar,Jammu and Kashmir,0.20,900,69.41
Karimganj,Assam,0.22,963,78.22
Baran,Rajasthan,0.20,929,66.66
Lalitpur,Uttar Pradesh,0.25,906,63.52
Nabarangapur,Orissa,0.19,1019,46.43
Yamunanagar,Haryana,0.17,877,77.99
Korba,Chhattisgarh,0.19,969,72.37
Dhaulpur,Rajasthan,0.23,846,69.08
Panipat,Haryana,0.25,864,75.94
Bhandara,Maharashtra,0.06,982,83.76
Pathanamthitta,Kerala,-0.03,1132,96.55
Washim,Maharashtra,0.17,930,83.25
Dhenkanal,Orissa,0.12,947,78.76
Singrauli,Madhya Pradesh,0.28,920,60.41
Udupi,Karnataka,0.06,1094,86.24
Hingoli,Maharashtra,0.19,942,78.17
Yadgir,Karnataka,0.23,989,51.83
Rajsamand,Rajasthan,0.17,990,63.14
Sivasagar,Assam,0.09,954,80.41
Sahibganj,Jharkhand,0.24,952,52.04
Chikmagalur,Karnataka,0.00,1008,79.25
Jagatsinghapur,Orissa,0.08,968,86.59
Ambala,Haryana,0.11,885,81.75
Sidhi,Madhya Pradesh,0.24,957,64.43
Jehanabad,Bihar,0.22,922,66.8
Tarn Taran,Punjab,0.19,900,67.81
Shrawasti,Uttar Pradesh,-0.05,881,46.74
Bundi,Rajasthan,0.15,925,61.52
Idukki,Kerala,-0.02,1006,91.99
Hamirpur,Uttar Pradesh,0.06,861,68.77
Jorhat,Assam,0.09,962,82.15
Narsimhapur,Madhya Pradesh,0.14,920,75.69
Mewat,Haryana,0.38,907,54.08
Ramanagara,Karnataka,0.05,976,69.22
Anantnag,Jammu and Kashmir,0.39,927,62.69
Kaithal,Haryana,0.14,881,69.15
Gadchiroli,Maharashtra,0.11,982,74.36
Golaghat,Assam,0.13,964,77.43
Shahdol,Madhya Pradesh,0.17,974,66.67
Saraikela Kharsawan,Jharkhand,0.25,956,67.7
Gadag,Karnataka,0.10,982,75.12
Karur,Tamil Nadu,0.14,1015,75.6
Rohtak,Haryana,0.13,867,80.22
Chandigarh,Chandigarh,0.17,818,86.05
Mandla,Madhya Pradesh,0.18,1008,66.87
Chatra,Jharkhand,0.32,953,60.18
Palwal,Haryana,0.26,880,69.32
Lakhimpur,Assam,0.17,968,77.2
Sambalpur,Orissa,0.11,976,76.22
Sirohi,Rajasthan,0.22,940,55.25
Mahasamund,Chhattisgarh,0.20,1017,71.02
Gumla,Jharkhand,0.23,993,65.73
Jhabua,Madhya Pradesh,0.31,990,43.3
Chamarajanagar,Karnataka,0.06,993,61.43
Panna,Madhya Pradesh,0.19,905,64.79
Goalpara,Assam,0.23,964,67.37
Baramula,Jammu and Kashmir,0.19,885,64.63
Lakhisarai,Bihar,0.25,902,62.42
Mandi,Himachal Pradesh,0.11,1007,81.53
Moga,Punjab,0.11,893,70.68
Mohali,Punjab,0.33,879,83.8
Chitrakoot,Uttar Pradesh,0.29,879,65.05
Bangalore Rural,Karnataka,0.16,946,77.93
Rayagada,Orissa,0.16,1051,49.76
Kurukshetra,Haryana,0.17,888,76.31
Nayagarh,Orissa,0.11,915,80.42
Jhajjar,Haryana,0.09,862,80.65
Morigaon,Assam,0.23,967,68.03
Karbi Anglong,Assam,0.18,951,69.25
Nainital,Uttarakhand,0.25,934,83.88
Puducherry,Puducherry,0.29,1029,85.44
Baksa,Assam,0.11,974,69.25
Ramgarh,Jharkhand,0.13,921,73.17
Fatehabad,Haryana,0.17,902,67.92
Darrang,Assam,0.22,954,63.08
Mahendragarh,Haryana,0.13,895,77.72
Muktsar,Punjab,0.16,896,65.81
Pakur,Jharkhand,0.28,989,48.82
Rewari,Haryana,0.18,898,80.99
North Delhi,Delhi,0.14,869,86.85
Kokrajhar,Assam,0.05,959,65.22
South Tripura,Tripura,0.14,957,84.66
Mahoba,Uttar Pradesh,0.24,878,65.27
Kupwara,Jammu and Kashmir,0.34,835,64.51
Pratapgarh,Rajasthan,0.23,983,55.97
Jashpur,Chhattisgarh,0.15,1005,67.92
Sindhudurg,Maharashtra,-0.02,1036,85.56
Ashoknagar,Madhya Pradesh,0.23,904,66.42
Udalguri,Assam,0.10,973,65.41
Neemuch,Madhya Pradesh,0.14,954,70.8
East Khasi Hills,Meghalaya,0.25,1011,84.15
Kabirdham,Chhattisgarh,0.41,996,60.85
North Goa,Goa,0.08,963,89.57
Wayanad,Kerala,0.05,1035,89.03
Kapurthala,Punjab,0.08,912,79.07
Shimla,Himachal Pradesh,0.13,915,83.64
Tapi,Gujarat,0.12,1007,68.26
Dhamtari,Chhattisgarh,0.13,1010,78.36
Jamtara,Jharkhand,0.21,954,64.59
Datia,Madhya Pradesh,0.18,873,72.63
Nalbari,Assam,0.12,949,78.63
Mansa,Punjab,0.12,883,61.83
Burhanpur,Madhya Pradesh,0.19,951,64.36
Ariyalur,Tamil Nadu,0.09,1015,71.34
Badgam,Jammu and Kashmir,0.24,894,56.08
Anuppur,Madhya Pradesh,0.12,976,67.88
Kanker,Chhattisgarh,0.15,1006,70.29
Bongaigaon,Assam,0.21,966,69.74
The Nilgiris,Tamil Nadu,-0.04,1042,85.2
Kandhamal,Orissa,0.13,1037,64.13
Alirajpur,Madhya Pradesh,0.19,1011,36.1
Latehar,Jharkhand,0.30,967,59.51
Kodarma,Jharkhand,0.43,950,66.84
Dindori,Madhya Pradesh,0.21,1002,63.9
Arwal,Bihar,0.19,928,67.43
North Tripura,Tripura,0.17,967,87.5
Sheopur,Madhya Pradesh,0.23,901,57.43
Pauri Garhwal,Uttarakhand,-0.01,1103,82.02
Dhemaji,Assam,0.20,953,72.7
Rupnagar,Punjab,0.09,915,82.19
Jaisalmer,Rajasthan,0.32,852,57.22
Hailakandi,Assam,0.21,951,74.33
Korea,Chhattisgarh,0.12,968,70.64
Sheohar,Bihar,0.27,893,53.78
Umaria,Madhya Pradesh,0.25,950,65.89
West Garo Hills,Meghalaya,0.24,984,67.58
Rajouri,Jammu and Kashmir,0.33,860,68.17
South Goa,Goa,0.09,986,87.59
Sheikhpura,Bihar,0.21,930,63.86
Almora,Uttarakhand,-0.01,1139,80.47
Tehri Garhwal,Uttarakhand,0.02,1077,76.36
Faridkot,Punjab,0.12,890,69.55
Kathua,Jammu and Kashmir,0.21,890,73.09
Malkangiri,Orissa,0.22,1020,48.54
Shahid Bhagat Singh Nagar,Punjab,0.04,954,79.78
Nuapada,Orissa,0.15,1021,57.35
Subarnapur,Orissa,0.13,960,74.42
Fatehgarh Sahib,Punjab,0.11,871,79.35
Simdega,Jharkhand,0.17,997,67.99
Barnala,Punjab,0.13,876,67.82
Narmada,Gujarat,0.15,961,72.31
Porbandar,Gujarat,0.09,950,75.78
Central Delhi,Delhi,-0.10,892,85.14
Solan,Himachal Pradesh,0.16,880,83.68
Jharsuguda,Orissa,0.14,953,78.86
Gajapati,Orissa,0.11,1043,53.49
Harda,Madhya Pradesh,0.20,935,72.5
Perambalur,Tamil Nadu,0.15,1003,74.32
Panchkula,Haryana,0.20,873,81.88
Pulwama,Jammu and Kashmir,0.27,912,63.48
Udhampur,Jammu and Kashmir,0.21,870,68.49
Kodagu,Karnataka,0.01,1019,82.61
Dantewada,Chhattisgarh,0.12,1020,42.12
Khunti,Jharkhand,0.22,997,63.86
Sirmaur,Himachal Pradesh,0.16,918,78.8
Una,Himachal Pradesh,0.16,976,86.53
Chamba,Himachal Pradesh,0.13,986,72.17
Imphal West,Manipur,0.17,1031,86.08
Pithoragarh,Uttarakhand,0.05,1020,82.25
Chirang,Assam,0.11,969,63.55
Senapati,Manipur,0.69,937,63.6
Punch,Jammu and Kashmir,0.28,893,66.74
Lohardaga,Jharkhand,0.27,985,67.61
Imphal East,Manipur,0.16,1017,81.95
Hamirpur,Himachal Pradesh,0.10,1095,88.15
Baudh,Orissa,0.18,991,71.61
Kullu,Himachal Pradesh,0.15,942,79.4
Kulgam,Jammu and Kashmir,0.08,951,59.23
Thoubal,Manipur,0.16,1002,74.47
Doda,Jammu and Kashmir,0.28,919,64.68
Aizawl,Mizoram,0.23,1009,97.89
Jaintia Hills,Meghalaya,0.32,1013,61.64
Bandipora,Jammu and Kashmir,0.29,889,56.28
Chamoli,Uttarakhand,0.06,1019,82.65
West Khasi Hills,Meghalaya,0.30,980,77.87
Bilaspur,Himachal Pradesh,0.12,981,84.59
Dimapur,Nagaland,1.27,919,84.79
Dhalai,Tripura,0.23,944,85.72
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.56,774,76.24
Uttarkashi,Uttarakhand,0.12,958,75.81
Samba,Jammu and Kashmir,0.17,886,81.41
East Garo Hills,Meghalaya,0.27,972,73.95
Reasi,Jammu and Kashmir,0.27,890,58.15
Debagarh,Orissa,0.14,975,72.57
Ganderbal,Jammu and Kashmir,0.37,874,58.04
Ramban,Jammu and Kashmir,0.32,902,54.27
East Sikkim,Sikkim,0.16,873,83.85
Churachandpur,Manipur,0.20,975,82.78
Kohima,Nagaland,1.32,928,85.23
Shupiyan,Jammu and Kashmir,0.26,951,60.76
Bageshwar,Uttarakhand,0.04,1090,80.01
Champawat,Uttarakhand,0.16,980,79.83
Ri Bhoi,Meghalaya,0.34,953,75.67
Bijapur,Chhattisgarh,0.09,984,40.86
Mon,Nagaland,0.80,899,56.99
